category,name,description,price,original_price,badge
Most ordered,38. Rulla kebab,,€13.00,,
Most ordered,Fantasia,Omavalintaiset täytteet,€12.00,,
Most ordered,11. Smetana Pizza,"Kebabliha, sipuli, jalopeno, feta, tomaatti, smetana, valkosipuli",€14.50,,
Most ordered,17. Empire,"Kinkku, salami, sipuli, tomaatti, katkarapu, valkosipuli",€14.00,,
Most ordered,Fantasia + Cola,Omavalintaiset täytteet,€11.69,€16.70,
Most ordered,"Coca-Cola 0,5l","Coca-Cola on ylivoimaisesti suosituin virvoitusjuoma Suomessa ja koko maailmassa. Se on aito ja alkuperäinen kolajuoma, jonka resepti on yhä salainen, yli 130 vuotta ensilasillisen jälkeen. Coca-Colan jäljittelemätön kolanmaku ja virkistävyys perustuvat kaikkialla maailmassa samaan perinteiseen reseptiin. Mutta yksi asia reseptistä tiedetään varmasti. Nimittäin, ettei juomaan ole lisätty säilöntäaineita tai keinotekoisia aromeja.",€4.00,€8.00,
Most ordered,29. Kebab perunoilla,,€12.50,,
Most ordered,5. Americana,"Kinkku, ananas, aurajuusto",€13.00,,
Most ordered,70. Kerrosjuusto burger,"2x160g pihvi, 2xcheddarjuusto",€14.90,,
Most ordered,57. Falafelrulla,,€11.00,,
Most ordered,88. Ranskalaiset,,€7.00,,
Most ordered,12. Dilinger,"Kinkku, salami, jauheliha, sipuli",€13.50,,
Pizzat,Fantasia + Cola,Omavalintaiset täytteet,€11.69,€16.70,
Pizzat,1. Bolognese,Jauheliha,€12.00,,
Pizzat,2. Tropicana,"Kinkku, ananas",€12.50,,
Pizzat,3. Opera,"Kinkku, tonnikala",€12.50,,
Pizzat,5. Americana,"Kinkku, ananas, aurajuusto",€13.00,,
Pizzat,6. Chicken Hawajii,"Kana, ananas, aurajuusto",€13.00,,
Pizzat,7. Mexicana,"Jalapeno, pepperoni, mexkastike, ananas, valkosipuli",€17.50,,
Pizzat,8. Kebab Pizza,"Kebab, sipuli, jalopeno, tomaatti, aurajuusto",€13.50,,
Pizzat,9. Pohjantähti,"Pepperoni, sipuli, savuporo, herkkusieni, paprika 18,00 26,00",€14.00,,
Pizzat,10. Barbeque Pizza,"Kana, ananas, pekoni, mozzarella, bbq-kastike",€14.00,,
Pizzat,11. Smetana Pizza,"Kebabliha, sipuli, jalopeno, feta, tomaatti, smetana, valkosipuli",€14.50,,
Pizzat,12. Dilinger,"Kinkku, salami, jauheliha, sipuli",€13.50,,
Pizzat,13. Hermanni Special,"Kinkku, salami, pekoni, kananmuna, smetana, valkosipuli 16,50",€14.00,,
Pizzat,14. Papan Special,"Pepperoni, sipuli, oliivi, pekoni, tomaatti, talonkastike",€14.50,,
Pizzat,15. Quattro Stagione,"Kinkku, herkkusieni, paprika, katkarapu",€13.50,,
Pizzat,16. Opera Special,"Kinkku, salami, tonnikala",€13.00,,
Pizzat,17. Empire,"Kinkku, salami, sipuli, tomaatti, katkarapu, valkosipuli",€14.00,,
Pizzat,18. Julia,"Kinkku, ananas, katkarapu, aurajuusto",€13.50,,
Pizzat,19. Kokin Special,"Kebab, pekoni, salami, kinkku, pepperoni",€14.50,,
Pizzat,20. Talon Special,"Kebab, vihreäpepperoni, sipuli, salami, talon kastike",€14.00,,
Pizzat,21. Inter Pizza,"Kebab, sipuli, jalopeno, tomaatti, talon kastike",€14.00,,
Pizzat,22. Lahden Pizza,"Kebab, sipuli, ranskalaiset, salaatti, talon kastike",€14.00,,
Pizzat,23. Neljän Juuston Pizza,"Feta, aurajuusto, juusto, mozzarella, rucola, smetana",€15.00,,
Pizzat,24. Revontuli,"Savuporo, kapris, pepperoni, aurajuusto, valkosipuli",€14.00,,
Pizzat,25. O'Sole Mio,"Pepperoni, aurajuusto, tomaatti, valkosipuli, talon kastike",€14.00,,
Pizzat,26. Fruti Di Mare,"Tonnikala, simpukka, katkarapu",€13.50,,
Pizzat,Fantasia,Omavalintaiset täytteet,€12.00,,
Vegaanipizzat,V1. Vöner Pizza,"Vöner, sipuli, vihreäpepperoni, tomaatti, vegaanijuusto",€17.90,,
Vegaanipizzat,V2. Vegaan for Life,"Tomaatti, herkkusieni, paprika, kapris, sipuli, vegaanijuusto",€16.90,,
Vegaanipizzat,V3. Green Pizza,"Tomaatti, paprika, herkkusieni, oliivi, sipuli, vegaanijuusto",€16.90,,
Vegaanipizzat,V4. Vegan Driver,"Vöner, jalopeno, ananas, valkosipuli, vegaanijuusto",€17.90,,
Uutuus Pizzat,U1. Parmankinkku,"Mozzarella, tomaatti, vuohenjuusto lämpimän pizzan päälle: parmankinkku, rucola",€19.00,,
Uutuus Pizzat,U2. Savuporo,"Savuporo, aurajuusto, herkkusieni, sipuli, pekoni, parmankinkku",€18.50,,
Uutuus Pizzat,U3. Vöner Special,"Vöner, jalopeno, tomaatti, sipuli, rucola",€16.50,,
Uutuus Pizzat,U4. Kesäkurpitsa,"Kesäkurpitsa, sipuli, paprika, vuohenjuusto",€16.50,,
Uutuus Pizzat,U5. Munakoiso,"Munakoiso, vuohenjuusto, tomaatti, sipuli, rucola",€18.50,,
Uutuus Pizzat,U6. Harskan Power,"Savuporo, munakoiso, kesäkurpitsa, vuohenjuusto, parmankinkku, rucola",€21.50,,
Kebabit,28. Pitakebab,,€11.50,,
Kebabit,29. Kebab perunoilla,,€12.50,,
Kebabit,38. Rulla kebab,,€13.00,,
Kanakebabit,42. Kanapita,,€13.00,,
Kanakebabit,Kanakebab perunoilla,,€13.50,,
Kanakebabit,50. Kanarulla,,€14.00,,
Falafel,57. Falafelrulla,,€11.00,,
Falafel,58. Falafel ranskalaisilla,,€12.50,,
Falafel,59. Falafel riisillä,,€12.50,,
Vöner,60. Vönerpita Vöner,,€15.00,,
Vöner,61. Vöner perunoilla,,€16.50,,
Vöner,65. Vönerrulla,,€16.50,,
Burger Ateriat,69. Mega burger,"160g pihvi, cheddarjuusto",€14.40,,
Burger Ateriat,70. Kerrosjuusto burger,"2x160g pihvi, 2xcheddarjuusto",€14.90,,
Burger Ateriat,71. Americano burger,"3x160g pihvi, 3xcheddarjuusto",€19.00,,
Burger Ateriat,72. BBQ-burger,"160g pihvi, cheddarjuusto",€14.70,,
Burger Ateriat,73. Max burger,"160g pihvi, cheddarjuusto, kananmuna",€14.70,,
Burger Ateriat,74. Chili burger,"2x160g pihvi, 2xcheddarjuusto, jalopeno",€16.50,,
Snacks,81. Makkaraperunat,,€12.50,,
Snacks,82. Nugetit ranskalaisilla,,€10.00,,
Snacks,85. Hot wings,,€13.00,,
Snacks,88. Ranskalaiset,,€7.00,,
Snacks,89. Bataatti ranskalaiset,,€11.00,,
Juomat,"Coca-Cola 0,33l",,€3.50,€10.61,
Juomat,"Coca-Cola Zero 0,33l","Coca-Cola Zero® Sugar on kevyt kolajuoma, joka maistuu aivan yhtä hyvältä kuin alkuperäinen Coca-Cola, mutta ilman sokeria.",€3.50,€10.61,
Juomat,"Fanta Appelsiini 0,33l",,€3.50,€10.61,
Juomat,"Coca-Cola 0,5l","Coca-Cola on ylivoimaisesti suosituin virvoitusjuoma Suomessa ja koko maailmassa. Se on aito ja alkuperäinen kolajuoma, jonka resepti on yhä salainen, yli 130 vuotta ensilasillisen jälkeen. Coca-Colan jäljittelemätön kolanmaku ja virkistävyys perustuvat kaikkialla maailmassa samaan perinteiseen reseptiin. Mutta yksi asia reseptistä tiedetään varmasti. Nimittäin, ettei juomaan ole lisätty säilöntäaineita tai keinotekoisia aromeja.",€4.00,€8.00,
Juomat,"Coca-Cola Zero 0,5l",,€4.00,€8.00,
Juomat,"Fanta Appelsiini 0,5l",,€4.00,€8.00,
Juomat,Red Bull Energiajuoma 250ml,,€3.00,,
Ben & Jerry's,Ben & Jerry's Cookie Dough 100ml,,€4.00,€40.00,
Ben & Jerry's,Ben & Jerry's Cookie Dough Vanilja Jäätelö 465ml/406g,"Kuuluisa Ben & Jerry’s Cookie Dough sai alkunsa nimettömästä vinkistä, tai pikemminkin kysymyksestä: Mitä tapahtuu, jos laitat keksitaikinan paloja vaniljajäätelöön. Onko se kaksi kertaa parempi? Nuo sanat herättivät uteliaisuuttamme. Aivomme alkoivat toimia täydellä nopeudella. Vuosi oli 1986 ja etsimme käsiimme kaiken mitä tarvitaan, löytääksemme vastauksen. Kävi ilmi, että ehdotus oli aivan loistava. Jatkoimme kokeilemistamme ja viiden vuoden omistautuneen testauksen ja lukemattomien maistelujen jälkeen löysimme täydellisen sekoituksen kakkutaikinaa ja vaniljajäätelöä. Ben & Jerry’s Cookie Dough lanseerattiin kaikkialla. Nykyään se on edelleen yksi suosituimmista ja rakastetuimmista mauistamme! Täydellinen jälkiruoka sinulle, joka rakastat keksitaikinaa. Kaikki alkoi siitä, kun kaksi kaveria alkoi myydä Vermontin Burlingtonissa sijaitsevasta kunnostetusta huoltoasemasta jäätelöä vuonna 1978. Heidän perustamastaan jäätelöyrityksestä tuli yhtä legendaarinen kuin jäätelöstä itsestään. Se oli seikkailun alku, joka on yhtä myyttinen kuin jäätelömme on hyvää. Jäätelömme tunnetaan nyt syrjäisilläkin seuduilla ja vaikeasti lausuttavilla nimillä ympäri maailmaa. Ben & Jerry's -jäätelön valmistukseen käytetään Reilun kaupan sertifioitua sokeria, kaakaota ja vaniljaa. Lisäksi jäätelö pakataan kestävään ja vastuullisesti tuotettuun pakkaukseen. Jäätelöpakkaus tulee säilyttää -18 °C:ssa tai kylmemmässä. Ei liene mitään niin ikonista jäätelöpurkkia kuin Ben & Jerry's -jäätelöllä. Asia ei kuitenkaan aina ole ollut niin! Varhaisina vuosina Ben ja Jerry eivät – usko tai älä – myyneet jäätelöä purkeissa, vaan irtopalloina Burlingtonissa, Vermontissa. Oli alun perin Benin idea kokeilla pakata herkullista jäätelöä purkkeihin kotiinvietäväksi. Loppu, kuten tapaamme sanoa, on jäätelöhistoriaa. Mutta nyt riittää puheet. Nautitaan jäätelöstä. Tutustu laajaan valikoimaamme osoitteessa benjerry.fi",€9.50,€20.43,
Ben & Jerry's,Ben & Jerry's Half Baked Jäätelö 465ml/406g,"Tässä jäätelössä on tupla-annos makujen euforiaa: herkullinen Cookie Dough on sekoitettu ihanaan Chocolate Fudge Brownieen. Nappaa lusikka käteesi ja nauti! Vanilja-suklaajäätelö keksitaikinan paloilla ja browniesilla on täysin lyömätön yhdistelmä! Ben & Jerry's Half Baked on saanut nimensä, koska itse brownie on paistettu, mutta kakkutaikina ei. Maku on ollut bestseller vuodesta 2000, jolloin päätimme yhdistää klassiset jäätelöluomuksemme – Cookie Dough ja Chocolate Fudge Brownie. Edellinen, Cookie Dough, jossa on suuria keksitaikinan paloja vaniljajäätelön ympäröimänä, syntyi vuonna 1986 fanin anonyyminä makuehdotuksena. Lanseeraus tapahtui viisi vuotta myöhemmin ja on edelleen sensaatiomaisen suosittu makuelämys. Chocolate Fudge Brownie on suosittu jäätelömaku jossa on ihanaa suklaajäätelöä ja superhyvää Greyston Bakeryn valmistamaa brownieta. Se on tyydyttänyt suklaan ystävien jäätelön nälkää jo vuodesta 1991. Joskus on vaikea valita näiden kahden legendaarisen maun välillä. Half Bakedin kanssa sinun ei tarvitse. Saat molempien maailmojen parhaat puolet samassa –Vanilja-suklaajäätelö keksitaikinan paloilla ja browniesilla on lyömätön yhdistelmä!Kaikki alkoi siitä, kun kaksi kaveria alkoi myydä Vermontin Burlingtonissa sijaitsevasta kunnostetusta huoltoasemasta jäätelöä vuonna 1978. Heidän perustamastaan jäätelöyrityksestä tuli yhtä legendaarinen kuin jäätelöstä itsestään. Se oli seikkailun alku, joka on yhtä myyttinen kuin jäätelömme on hyvää. Jäätelömme tunnetaan nyt syrjäisilläkin seuduilla ja vaikeasti lausuttavilla nimillä ympäri maailmaa. Ben & Jerry's -jäätelön valmistukseen käytetään Reilun kaupan sertifioitua sokeria, kaakaota ja vaniljaa. Lisäksi jäätelö pakataan kestävään ja vastuullisesti tuotettuun pakkaukseen. Jäätelöpakkaus tulee säilyttää -18 °C:ssa tai kylmemmässä.",€9.50,€20.43,
Ben & Jerry's,Ben & Jerry's Strawberry Cheesecake Jäätelö 465ml/416g,"Jäätelöä mansikkajuustokakulla, mansikkapaloja ja grahamkeksipyörteitä. Jos keksit täydellisemmän mansikkamaun, kerro minulle. Meidän on vaikea ylittää tätä. Ben & Jerry's Strawberry Cheesecake -jäätelö on tehty sinulle, joka rakastat mansikkajuustokakkua ja olet aina kaivannut jäätelöä, jossa suosikkisi maistuu. Odotus on ohi, olemme luoneet jäätelön, joka on täynnä mansikkajuustokakun loistoa ja upeaa grahamkeksiä. Kaikki se mitä rakastat juustokakussa ja kaikki se mitä rakastat Ben & Jerry's -jäätelössä – se on tässä yhdessä paketissa. Mansikkajuustokakku päätyy aina kymmenen suosituimman makumme joukkoon joka vuosi. Voisiko suosion salaisuus olla grahamkeksien pyörre? Rapeus on todella täydellinen lisä kermaiseen jäätelöön. Vai onko se mansikoissa? Herkulliset mansikat maistuvat jotenkin vieläkin maukkaammilta jäätelön seassa. Varmasti jokaisella on oma vastauksensa. Ja hyvä niin, sillä he ovat kaikki oikeassa. Joten etsi lusikka ja nauti jälkiruoasta, joka on täynnä herkullisia mansikan paloja ja keksipyörteitä. Kuulostaa kovasti Ben & Jerry'siltä, vai mitä? Jäätelöpakkaus on valmistettu vastuullisesti. Kaikki alkoi siitä, kun kaksi kaveria alkoi myydä Vermontin Burlingtonissa sijaitsevasta kunnostetusta huoltoasemasta jäätelöä vuonna 1978. Heidän perustamastaan jäätelöyrityksestä tuli yhtä legendaarinen kuin jäätelöstä itsestään. Se oli seikkailun alku, joka on yhtä myyttinen kuin jäätelömme on hyvää. Jäätelömme tunnetaan nyt syrjäisilläkin seuduilla ja vaikeasti lausuttavilla nimillä ympäri maailmaa. Ben & Jerry's -jäätelön valmistukseen käytetään Reilun kaupan sertifioitua sokeria, kaakaota ja vaniljaa.",€9.50,€20.43,
Ben & Jerry's,Ben & Jerry's Chocolate Fudge Brownie Jäätelö 465ml,"Ben & Jerry's Chocolate Fudge Brownie -jäätelö on todella kermainen suklaajäätelö, joka on täytetty herkullisilla brownien paloilla. Se kuulostaa unelmalta. Ja alussa se olikin sitä. Jotta siitä tulisi totta, päätimme tehdä makukokeen. Miltä browniepalat maistuisivat suklaajäätelössä? Mitä mieltä sinä olet? Juuri niin, olet oikeassa. Lopputulos on fantastinen. Siitä tuli superhyvää! Syntyi legendaarinen Ben & Jerry's -jäätelö, jonka nimi on nykyään Chocolate Fudge Brownie. Täydellinen jälkiruoka ja makupala sinulle, joka rakastat suklaata ja brownieta. Älä vain unohda, että jäätelö on parhaimmillaan kun se on kylmää. Ben & Jerry's Chocolate Fudge Brownie jäätelöpakkaus tulee säilyttää -18 °C:ssa tai kylmemmässä.Kaikki alkoi siitä, kun kaksi kaveria alkoi myydä Vermontin Burlingtonissa sijaitsevasta kunnostetusta huoltoasemasta jäätelöä vuonna 1978. Heidän perustamastaan jäätelöyrityksestä tuli yhtä legendaarinen kuin jäätelöstä itsestään. Se oli seikkailun alku, joka on yhtä myyttinen kuin jäätelömme on hyvää. Jäätelömme tunnetaan nyt syrjäisilläkin seuduilla ja vaikeasti lausuttavilla nimillä ympäri maailmaa. Ben & Jerry's -jäätelön valmistukseen käytetään Reilun kaupan sertifioitua sokeria, kaakaota ja vaniljaa.Ei liene mitään niin ikonista jäätelöpurkkia kuin Ben & Jerry's -jäätelöllä. Asia ei kuitenkaan aina ole ollut niin! Varhaisina vuosina Ben ja Jerry eivät – usko tai älä – myyneet jäätelöä purkeissa, vaan irtopalloina Burlingtonissa, Vermontissa. Oli alun perin Benin idea kokeilla pakata herkullista jäätelöä purkkeihin kotiinvietäväksi. Loppu, kuten tapaamme sanoa, on jäätelöhistoriaa. Lisäksi jäätelö pakataan kestävään ja vastuullisesti tuotettuun pakkaukseen. Mutta nyt riittää puheet. Nautitaan jäätelöstä. Tutustu laajaan valikoimaamme osoitteessa benjerry.fi",€9.50,€20.43,
